### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
BOL,Gas,7732,117
BOL,Oil,11135,117
BOL,Solar,3412,0
BOL,Wind,3412,0
BOL,Waste,8513,117
BOL,Hydro,3412,0
BOL,Geothermal,3412,0
BOL,Biomass,13300,206
BOL,Nuclear,10608,0
BRA,Coal,10551,206
BRA,Gas,7732,117
BRA,Oil,11135,117
BRA,Solar,3412,0
BRA,Wind,3412,0
BRA,Waste,8513,117
BRA,Hydro,3412,0
BRA,Geothermal,3412,0
BRA,Biomass,13300,206
BRA,Nuclear,10608,0
BRN,Coal,10551,206
BRN,Gas,7732,117
BRN,Oil,11135,117
BRN,Solar,3412,0
BRN,Wind,3412,0
BRN,Waste,8513,117
BRN,Hydro,3412,0
BRN,Geothermal,3412,0
BRN,Biomass,13300,206
BRN,Nuclear,10608,0
BTN,Coal,10551,206
BTN,Gas,7732,117
BTN,Oil,11135,117
BTN,Solar,3412,0
BTN,Wind,3412,0
BTN,Waste,8513,117
BTN,Hydro,3412,0
BTN,Geothermal,3412,0
BTN,Biomass,13300,206
BTN,Nuclear,10608,0
BWA,Coal,10551,206
BWA,Gas,7732,117
BWA,Oil,11135,117
BWA,Solar,3412,0
BWA,Wind,3412,0
BWA,Waste,8513,117
BWA,Hydro,3412,0
BWA,Geothermal,3412,0
BWA,Biomass,13300,206
BWA,Nuclear,10608,0
CAF,Coal,10551,206
CAF,Gas,7732,117
CAF,Oil,11135,117
CAF,Solar,3412,0
CAF,Wind,3412,0
CAF,Waste,8513,117
CAF,Hydro,3412,0
CAF,Geothermal,3412,0
CAF,Biomass,13300,206
CAF,Nuclear,10608,0
CAN,Coal,10551,206
CAN,Gas,7732,117
CAN,Oil,11135,117
CAN,Solar,3412,0
CAN,Wind,3412,0
CAN,Waste,8513,117
CAN,Hydro,3412,0
CAN,Geothermal,3412,0
CAN,Biomass,13300,206
CAN,Nuclear,10608,0
CHE,Coal,10551,206
CHE,Gas,7732,117
CHE,Oil,11135,117
CHE,Solar,3412,0
CHE,Wind,3412,0
CHE,Waste,8513,117
CHE,Hydro,3412,0
CHE,Geothermal,3412,0
CHE,Biomass,13300,206
CHE,Nuclear,10608,0
CHL,Coal,10551,206
CHL,Gas,7732,117
CHL,Oil,11135,117
CHL,Solar,3412,0
CHL,Wind,3412,0
CHL,Waste,8513,117
CHL,Hydro,3412,0
CHL,Geothermal,3412,0
CHL,Biomass,13300,206
CHL,Nuclear,10608,0
CHN,Coal,10551,206
CHN,Gas,7732,117
CHN,Oil,11135,117
CHN,Solar,3412,0
CHN,Wind,3412,0
CHN,Waste,8513,117
CHN,Hydro,3412,0
CHN,Geothermal,3412,0
CHN,Biomass,13300,206
CHN,Nuclear,10608,0
CIV,Coal,10551,206
CIV,Gas,7732,117
CIV,Oil,11135,117
CIV,Solar,3412,0
CIV,Wind,3412,0
CIV,Waste,8513,117
CIV,Hydro,3412,0
CIV,Geothermal,3412,0
CIV,Biomass,13300,206
CIV,Nuclear,10608,0
CMR,Coal,10551,206
CMR,Gas,7732,117
CMR,Oil,11135,117
CMR,Solar,3412,0
CMR,Wind,3412,0
CMR,Waste,8513,117
CMR,Hydro,3412,0
CMR,Geothermal,3412,0
CMR,Biomass,13300,206
CMR,Nuclear,10608,0
COD,Coal,10551,206
COD,Gas,7732,117
COD,Oil,11135,117
COD,Solar,3412,0
COD,Wind,3412,0
COD,Waste,8513,117
COD,Hydro,3412,0
COD,Geothermal,3412,0
COD,Biomass,13300,206
COD,Nuclear,10608,0
COG,Coal,10551,206
COG,Gas,7732,117
COG,Oil,11135,117
COG,Solar,3412,0
COG,Wind,3412,0
COG,Waste,8513,117
COG,Hydro,3412,0
COG,Geothermal,3412,0
COG,Biomass,13300,206
COG,Nuclear,10608,0
COL,Coal,10551,206
COL,Gas,7732,117
COL,Oil,11135,117
COL,Solar,3412,0
COL,Wind,3412,0
COL,Waste,8513,117
COL,Hydro,3412,0
COL,Geothermal,3412,0
COL,Biomass,13300,206
COL,Nuclear,10608,0
CPV,Coal,10551,206
CPV,Gas,7732,117
CPV,Oil,11135,117
CPV,Solar,3412,0
CPV,Wind,3412,0
CPV,Waste,8513,117
CPV,Hydro,3412,0
CPV,Geothermal,3412,0
CPV,Biomass,13300,206
CPV,Nuclear,10608,0
CRI,Coal,10551,206
CRI,Gas,7732,117
CRI,Oil,11135,117
CRI,Solar,3412,0
CRI,Wind,3412,0
CRI,Waste,8513,117
CRI,Hydro,3412,0
CRI,Geothermal,3412,0
CRI,Biomass,13300,206
CRI,Nuclear,10608,0
CUB,Coal,10551,206
CUB,Gas,7732,117
CUB,Oil,11135,117
CUB,Solar,3412,0
CUB,Wind,3412,0
CUB,Waste,8513,117
CUB,Hydro,3412,0
CUB,Geothermal,3412,0
CUB,Biomass,13300,206
CUB,Nuclear,10608,0
CYP,Coal,10551,206
CYP,Gas,7732,117
CYP,Oil,11135,117
CYP,Solar,3412,0
CYP,Wind,3412,0
CYP,Waste,8513,117
CYP,Hydro,3412,0
CYP,Geothermal,3412,0
CYP,Biomass,13300,206
CYP,Nuclear,10608,0
CZE,Coal,10551,206
CZE,Gas,7732,117
CZE,Oil,11135,117
CZE,Solar,3412,0
CZE,Wind,3412,0
CZE,Waste,8513,117
CZE,Hydro,3412,0
CZE,Geothermal,3412,0
CZE,Biomass,13300,206
CZE,Nuclear,10608,0
DEU,Coal,10551,206
DEU,Gas,7732,117
DEU,Oil,11135,117
DEU,Solar,3412,0
DEU,Wind,3412,0
DEU,Waste,8513,117
DEU,Hydro,3412,0
DEU,Geothermal,3412,0
DEU,Biomass,13300,206
DEU,Nuclear,10608,0
DJI,Coal,10551,206
DJI,Gas,7732,117
DJI,Oil,11135,117
DJI,Solar,3412,0
DJI,Wind,3412,0
DJI,Waste,8513,117
DJI,Hydro,3412,0
DJI,Geothermal,3412,0
DJI,Biomass,13300,206
DJI,Nuclear,10608,0
DNK,Coal,10551,206
DNK,Gas,7732,117
DNK,Oil,11135,117
DNK,Solar,3412,0
DNK,Wind,3412,0
DNK,Waste,8513,117
DNK,Hydro,3412,0
DNK,Geothermal,3412,0
DNK,Biomass,13300,206
DNK,Nuclear,10608,0
DOM,Coal,10551,206
DOM,Gas,7732,117
DOM,Oil,11135,117
DOM,Solar,3412,0
DOM,Wind,3412,0
DOM,Waste,8513,117
DOM,Hydro,3412,0
DOM,Geothermal,3412,0
DOM,Biomass,13300,206
DOM,Nuclear,10608,0
DZA,Coal,10551,206
DZA,Gas,7732,117
DZA,Oil,11135,117
DZA,Solar,3412,0
DZA,Wind,3412,0
DZA,Waste,8513,117
DZA,Hydro,3412,0
DZA,Geothermal,3412,0
DZA,Biomass,13300,206
DZA,Nuclear,10608,0
ECU,Coal,10551,206
ECU,Gas,7732,117
ECU,Oil,11135,117
ECU,Solar,3412,0
ECU,Wind,3412,0
ECU,Waste,8513,117
ECU,Hydro,3412,0
ECU,Geothermal,3412,0
ECU,Biomass,13300,206
ECU,Nuclear,10608,0
EGY,Coal,10551,206
EGY,Gas,7732,117
EGY,Oil,11135,117
EGY,Solar,3412,0
EGY,Wind,3412,0
EGY,Waste,8513,117
EGY,Hydro,3412,0
EGY,Geothermal,3412,0
EGY,Biomass,13300,206
EGY,Nuclear,10608,0
ERI,Coal,10551,206
ERI,Gas,7732,117
ERI,Oil,11135,117
ERI,Solar,3412,0
ERI,Wind,3412,0
ERI,Waste,8513,117
ERI,Hydro,3412,0
ERI,Geothermal,3412,0
