### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
LSO,Nuclear,10608,0
LTU,Coal,10551,206
LTU,Gas,7732,117
LTU,Oil,11135,117
LTU,Solar,3412,0
LTU,Wind,3412,0
LTU,Waste,8513,117
LTU,Hydro,3412,0
LTU,Geothermal,3412,0
LTU,Biomass,13300,206
LTU,Nuclear,10608,0
LUX,Coal,10551,206
LUX,Gas,7732,117
LUX,Oil,11135,117
LUX,Solar,3412,0
LUX,Wind,3412,0
LUX,Waste,8513,117
LUX,Hydro,3412,0
LUX,Geothermal,3412,0
LUX,Biomass,13300,206
LUX,Nuclear,10608,0
LVA,Coal,10551,206
LVA,Gas,7732,117
LVA,Oil,11135,117
LVA,Solar,3412,0
LVA,Wind,3412,0
LVA,Waste,8513,117
LVA,Hydro,3412,0
LVA,Geothermal,3412,0
LVA,Biomass,13300,206
LVA,Nuclear,10608,0
MAR,Coal,10551,206
MAR,Gas,7732,117
MAR,Oil,11135,117
MAR,Solar,3412,0
MAR,Wind,3412,0
MAR,Waste,8513,117
MAR,Hydro,3412,0
MAR,Geothermal,3412,0
MAR,Biomass,13300,206
MAR,Nuclear,10608,0
MDA,Coal,10551,206
MDA,Gas,7732,117
MDA,Oil,11135,117
MDA,Solar,3412,0
MDA,Wind,3412,0
MDA,Waste,8513,117
MDA,Hydro,3412,0
MDA,Geothermal,3412,0
MDA,Biomass,13300,206
MDA,Nuclear,10608,0
MDG,Coal,10551,206
MDG,Gas,7732,117
MDG,Oil,11135,117
MDG,Solar,3412,0
MDG,Wind,3412,0
MDG,Waste,8513,117
MDG,Hydro,3412,0
MDG,Geothermal,3412,0
MDG,Biomass,13300,206
MDG,Nuclear,10608,0
MEX,Coal,10551,206
MEX,Gas,7732,117
MEX,Oil,11135,117
MEX,Solar,3412,0
MEX,Wind,3412,0
MEX,Waste,8513,117
MEX,Hydro,3412,0
MEX,Geothermal,3412,0
MEX,Biomass,13300,206
MEX,Nuclear,10608,0
MKD,Coal,10551,206
MKD,Gas,7732,117
MKD,Oil,11135,117
MKD,Solar,3412,0
MKD,Wind,3412,0
MKD,Waste,8513,117
MKD,Hydro,3412,0
MKD,Geothermal,3412,0
MKD,Biomass,13300,206
MKD,Nuclear,10608,0
MLI,Coal,10551,206
MLI,Gas,7732,117
MLI,Oil,11135,117
MLI,Solar,3412,0
MLI,Wind,3412,0
MLI,Waste,8513,117
MLI,Hydro,3412,0
MLI,Geothermal,3412,0
MLI,Biomass,13300,206
MLI,Nuclear,10608,0
MMR,Coal,10551,206
MMR,Gas,7732,117
MMR,Oil,11135,117
MMR,Solar,3412,0
MMR,Wind,3412,0
MMR,Waste,8513,117
MMR,Hydro,3412,0
MMR,Geothermal,3412,0
MMR,Biomass,13300,206
MMR,Nuclear,10608,0
MNE,Coal,10551,206
MNE,Gas,7732,117
MNE,Oil,11135,117
MNE,Solar,3412,0
MNE,Wind,3412,0
MNE,Waste,8513,117
MNE,Hydro,3412,0
MNE,Geothermal,3412,0
MNE,Biomass,13300,206
MNE,Nuclear,10608,0
MNG,Coal,10551,206
MNG,Gas,7732,117
MNG,Oil,11135,117
MNG,Solar,3412,0
MNG,Wind,3412,0
MNG,Waste,8513,117
MNG,Hydro,3412,0
MNG,Geothermal,3412,0
MNG,Biomass,13300,206
MNG,Nuclear,10608,0
MOZ,Coal,10551,206
MOZ,Gas,7732,117
MOZ,Oil,11135,117
MOZ,Solar,3412,0
MOZ,Wind,3412,0
MOZ,Waste,8513,117
MOZ,Hydro,3412,0
MOZ,Geothermal,3412,0
MOZ,Biomass,13300,206
MOZ,Nuclear,10608,0
MRT,Coal,10551,206
MRT,Gas,7732,117
MRT,Oil,11135,117
MRT,Solar,3412,0
MRT,Wind,3412,0
MRT,Waste,8513,117
MRT,Hydro,3412,0
MRT,Geothermal,3412,0
MRT,Biomass,13300,206
MRT,Nuclear,10608,0
MUS,Coal,10551,206
MUS,Gas,7732,117
MUS,Oil,11135,117
MUS,Solar,3412,0
MUS,Wind,3412,0
MUS,Waste,8513,117
MUS,Hydro,3412,0
MUS,Geothermal,3412,0
MUS,Biomass,13300,206
MUS,Nuclear,10608,0
MWI,Coal,10551,206
MWI,Gas,7732,117
MWI,Oil,11135,117
MWI,Solar,3412,0
MWI,Wind,3412,0
MWI,Waste,8513,117
MWI,Hydro,3412,0
MWI,Geothermal,3412,0
MWI,Biomass,13300,206
MWI,Nuclear,10608,0
MYS,Coal,10551,206
MYS,Gas,7732,117
MYS,Oil,11135,117
MYS,Solar,3412,0
MYS,Wind,3412,0
MYS,Waste,8513,117
MYS,Hydro,3412,0
MYS,Geothermal,3412,0
MYS,Biomass,13300,206
MYS,Nuclear,10608,0
NAM,Coal,10551,206
NAM,Gas,7732,117
NAM,Oil,11135,117
NAM,Solar,3412,0
NAM,Wind,3412,0
NAM,Waste,8513,117
NAM,Hydro,3412,0
NAM,Geothermal,3412,0
NAM,Biomass,13300,206
NAM,Nuclear,10608,0
NER,Coal,10551,206
NER,Gas,7732,117
NER,Oil,11135,117
NER,Solar,3412,0
NER,Wind,3412,0
NER,Waste,8513,117
NER,Hydro,3412,0
NER,Geothermal,3412,0
NER,Biomass,13300,206
NER,Nuclear,10608,0
NGA,Coal,10551,206
NGA,Gas,7732,117
NGA,Oil,11135,117
NGA,Solar,3412,0
NGA,Wind,3412,0
NGA,Waste,8513,117
NGA,Hydro,3412,0
NGA,Geothermal,3412,0
NGA,Biomass,13300,206
NGA,Nuclear,10608,0
NIC,Coal,10551,206
NIC,Gas,7732,117
NIC,Oil,11135,117
NIC,Solar,3412,0
NIC,Wind,3412,0
NIC,Waste,8513,117
NIC,Hydro,3412,0
NIC,Geothermal,3412,0
NIC,Biomass,13300,206
NIC,Nuclear,10608,0
NLD,Coal,10551,206
NLD,Gas,7732,117
NLD,Oil,11135,117
NLD,Solar,3412,0
NLD,Wind,3412,0
NLD,Waste,8513,117
NLD,Hydro,3412,0
NLD,Geothermal,3412,0
NLD,Biomass,13300,206
NLD,Nuclear,10608,0
NOR,Coal,10551,206
NOR,Gas,7732,117
NOR,Oil,11135,117
NOR,Solar,3412,0
NOR,Wind,3412,0
NOR,Waste,8513,117
NOR,Hydro,3412,0
NOR,Geothermal,3412,0
NOR,Biomass,13300,206
NOR,Nuclear,10608,0
NPL,Coal,10551,206
NPL,Gas,7732,117
NPL,Oil,11135,117
NPL,Solar,3412,0
NPL,Wind,3412,0
NPL,Waste,8513,117
NPL,Hydro,3412,0
NPL,Geothermal,3412,0
NPL,Biomass,13300,206
NPL,Nuclear,10608,0
NZL,Coal,10551,206
NZL,Gas,7732,117
NZL,Oil,11135,117
NZL,Solar,3412,0
NZL,Wind,3412,0
NZL,Waste,8513,117
NZL,Hydro,3412,0
NZL,Geothermal,3412,0
NZL,Biomass,13300,206
NZL,Nuclear,10608,0
OMN,Coal,10551,206
OMN,Gas,7732,117
OMN,Oil,11135,117
OMN,Solar,3412,0
OMN,Wind,3412,0
OMN,Waste,8513,117
OMN,Hydro,3412,0
OMN,Geothermal,3412,0
OMN,Biomass,13300,206
OMN,Nuclear,10608,0
PAK,Coal,10551,206
PAK,Gas,7732,117
PAK,Oil,11135,117
PAK,Solar,3412,0
PAK,Wind,3412,0
PAK,Waste,8513,117
PAK,Hydro,3412,0
PAK,Geothermal,3412,0
PAK,Biomass,13300,206
PAK,Nuclear,10608,0
PAN,Coal,10551,206
PAN,Gas,7732,117
PAN,Oil,11135,117
PAN,Solar,3412,0
PAN,Wind,3412,0
PAN,Waste,8513,117
PAN,Hydro,3412,0
PAN,Geothermal,3412,0
PAN,Biomass,13300,206
PAN,Nuclear,10608,0
PER,Coal,10551,206
PER,Gas,7732,117
PER,Oil,11135,117
PER,Solar,3412,0
PER,Wind,3412,0
PER,Waste,8513,117
PER,Hydro,3412,0
PER,Geothermal,3412,0
PER,Biomass,13300,206
PER,Nuclear,10608,0
PHL,Coal,10551,206
PHL,Gas,7732,117
PHL,Oil,11135,117
PHL,Solar,3412,0
PHL,Wind,3412,0
PHL,Waste,8513,117
PHL,Hydro,3412,0
PHL,Geothermal,3412,0
PHL,Biomass,13300,206
PHL,Nuclear,10608,0
PNG,Coal,10551,206
PNG,Gas,7732,117
PNG,Oil,11135,117
PNG,Solar,3412,0
PNG,Wind,3412,0
PNG,Waste,8513,117
PNG,Hydro,3412,0
PNG,Geothermal,3412,0
PNG,Biomass,13300,206
PNG,Nuclear,10608,0
POL,Coal,10551,206
POL,Gas,7732,117
POL,Oil,11135,117
POL,Solar,3412,0
POL,Wind,3412,0
POL,Waste,8513,117
POL,Hydro,3412,0
POL,Geothermal,3412,0
POL,Biomass,13300,206
POL,Nuclear,10608,0
PRK,Coal,10551,206
PRK,Gas,7732,117
PRK,Oil,11135,117
PRK,Solar,3412,0
PRK,Wind,3412,0
PRK,Waste,8513,117
PRK,Hydro,3412,0
PRK,Geothermal,3412,0
PRK,Biomass,13300,206
PRK,Nuclear,10608,0
PRT,Coal,10551,206
PRT,Gas,7732,117
PRT,Oil,11135,117
PRT,Solar,3412,0
PRT,Wind,3412,0
PRT,Waste,8513,117
PRT,Hydro,3412,0
PRT,Geothermal,3412,0
PRT,Biomass,13300,206
PRT,Nuclear,10608,0
PRY,Coal,10551,206
PRY,Gas,7732,117
PRY,Oil,11135,117
PRY,Solar,3412,0
PRY,Wind,3412,0
PRY,Waste,8513,117
PRY,Hydro,3412,0
PRY,Geothermal,3412,0
PRY,Biomass,13300,206
PRY,Nuclear,10608,0
QAT,Coal,10551,206
QAT,Gas,7732,117
QAT,Oil,11135,117
QAT,Solar,3412,0
QAT,Wind,3412,0
QAT,Waste,8513,117
QAT,Hydro,3412,0
QAT,Geothermal,3412,0
QAT,Biomass,13300,206
QAT,Nuclear,10608,0
ROU,Coal,10551,206
ROU,Gas,7732,117
ROU,Oil,11135,117
ROU,Solar,3412,0
ROU,Wind,3412,0
ROU,Waste,8513,117
ROU,Hydro,3412,0
ROU,Geothermal,3412,0
ROU,Biomass,13300,206
ROU,Nuclear,10608,0
RUS,Coal,10551,206
RUS,Gas,7732,117
RUS,Oil,11135,117
RUS,Solar,3412,0
RUS,Wind,3412,0
RUS,Waste,8513,117
RUS,Hydro,3412,0
RUS,Geothermal,3412,0
RUS,Biomass,13300,206
RUS,Nuclear,10608,0
RWA,Coal,10551,206
RWA,Gas,7732,117
RWA,Oil,11135,117
RWA,Solar,3412,0
RWA,Wind,3412,0
RWA,Waste,8513,117
RWA,Hydro,3412,0
RWA,Geothermal,3412,0
RWA,Biomass,13300,206
RWA,Nuclear,10608,0
SAU,Coal,10551,206
SAU,Gas,7732,117
SAU,Oil,11135,117
SAU,Solar,3412,0
SAU,Wind,3412,0
SAU,Waste,8513,117
SAU,Hydro,3412,0
SAU,Geothermal,3412,0
SAU,Biomass,13300,206
SAU,Nuclear,10608,0
SDN,Coal,10551,206
SDN,Gas,7732,117
SDN,Oil,11135,117
SDN,Solar,3412,0
SDN,Wind,3412,0
SDN,Waste,8513,117
SDN,Hydro,3412,0
SDN,Geothermal,3412,0
SDN,Biomass,13300,206
SDN,Nuclear,10608,0
SEN,Coal,10551,206
SEN,Gas,7732,117
SEN,Oil,11135,117
SEN,Solar,3412,0
SEN,Wind,3412,0
SEN,Waste,8513,117
SEN,Hydro,3412,0
SEN,Geothermal,3412,0
SEN,Biomass,13300,206
SEN,Nuclear,10608,0
SGP,Coal,10551,206
SGP,Gas,7732,117
SGP,Oil,11135,117
SGP,Solar,3412,0
SGP,Wind,3412,0
SGP,Waste,8513,117
SGP,Hydro,3412,0
SGP,Geothermal,3412,0
SGP,Biomass,13300,206
SGP,Nuclear,10608,0
SLE,Coal,10551,206
SLE,Gas,7732,117
SLE,Oil,11135,117
SLE,Solar,3412,0
SLE,Wind,3412,0
SLE,Waste,8513,117
SLE,Hydro,3412,0
SLE,Geothermal,3412,0
SLE,Biomass,13300,206
SLE,Nuclear,10608,0
SLV,Coal,10551,206
SLV,Gas,7732,117
SLV,Oil,11135,117
SLV,Solar,3412,0
SLV,Wind,3412,0
SLV,Waste,8513,117
SLV,Hydro,3412,0
SLV,Geothermal,3412,0
SLV,Biomass,13300,206
SLV,Nuclear,10608,0
SRB,Coal,10551,206
SRB,Gas,7732,117
SRB,Oil,11135,117
SRB,Solar,3412,0
SRB,Wind,3412,0
SRB,Waste,8513,117
SRB,Hydro,3412,0
SRB,Geothermal,3412,0
SRB,Biomass,13300,206
SRB,Nuclear,10608,0
SVK,Coal,10551,206
SVK,Gas,7732,117
SVK,Oil,11135,117
SVK,Solar,3412,0
SVK,Wind,3412,0
SVK,Waste,8513,117
SVK,Hydro,3412,0
SVK,Geothermal,3412,0
SVK,Biomass,13300,206
SVK,Nuclear,10608,0
SVN,Coal,10551,206
SVN,Gas,7732,117
SVN,Oil,11135,117
SVN,Solar,3412,0
SVN,Wind,3412,0
SVN,Waste,8513,117
SVN,Hydro,3412,0
SVN,Geothermal,3412,0
SVN,Biomass,13300,206
SVN,Nuclear,10608,0
SWE,Coal,10551,206
SWE,Gas,7732,117
SWE,Oil,11135,117
SWE,Solar,3412,0
SWE,Wind,3412,0
SWE,Waste,8513,117
SWE,Hydro,3412,0
SWE,Geothermal,3412,0
SWE,Biomass,13300,206
SWE,Nuclear,10608,0
SWZ,Coal,10551,206
SWZ,Gas,7732,117
SWZ,Oil,11135,117
SWZ,Solar,3412,0
SWZ,Wind,3412,0
SWZ,Waste,8513,117
SWZ,Hydro,3412,0
SWZ,Geothermal,3412,0
SWZ,Biomass,13300,206
SWZ,Nuclear,10608,0
SYR,Coal,10551,206
SYR,Gas,7732,117
SYR,Oil,11135,117
SYR,Solar,3412,0
SYR,Wind,3412,0
SYR,Waste,8513,117
SYR,Hydro,3412,0
SYR,Geothermal,3412,0
SYR,Biomass,13300,206
SYR,Nuclear,10608,0
TGO,Coal,10551,206
TGO,Gas,7732,117
TGO,Oil,11135,117
TGO,Solar,3412,0
TGO,Wind,3412,0
TGO,Waste,8513,117
TGO,Hydro,3412,0
TGO,Geothermal,3412,0
TGO,Biomass,13300,206
TGO,Nuclear,10608,0
THA,Coal,10551,206
THA,Gas,7732,117
THA,Oil,11135,117
THA,Solar,3412,0
THA,Wind,3412,0
THA,Waste,8513,117
THA,Hydro,3412,0
THA,Geothermal,3412,0
THA,Biomass,13300,206
THA,Nuclear,10608,0
TJK,Coal,10551,206
TJK,Gas,7732,117
TJK,Oil,11135,117
TJK,Solar,3412,0
TJK,Wind,3412,0
TJK,Waste,8513,117
TJK,Hydro,3412,0
TJK,Geothermal,3412,0
TJK,Biomass,13300,206
TJK,Nuclear,10608,0
TKM,Coal,10551,206
TKM,Gas,7732,117
TKM,Oil,11135,117
TKM,Solar,3412,0
TKM,Wind,3412,0
TKM,Waste,8513,117
TKM,Hydro,3412,0
TKM,Geothermal,3412,0
TKM,Biomass,13300,206
TKM,Nuclear,10608,0
TTO,Coal,10551,206
TTO,Gas,7732,117
TTO,Oil,11135,117
TTO,Solar,3412,0
TTO,Wind,3412,0
TTO,Waste,8513,117
TTO,Hydro,3412,0
TTO,Geothermal,3412,0
TTO,Biomass,13300,206
TTO,Nuclear,10608,0
TUN,Coal,10551,206
TUN,Gas,7732,117
TUN,Oil,11135,117
TUN,Solar,3412,0
TUN,Wind,3412,0
TUN,Waste,8513,117
TUN,Hydro,3412,0
TUN,Geothermal,3412,0
TUN,Biomass,13300,206
TUN,Nuclear,10608,0
TUR,Coal,10551,206
TUR,Gas,7732,117
TUR,Oil,11135,117
TUR,Solar,3412,0
TUR,Wind,3412,0
TUR,Waste,8513,117
TUR,Hydro,3412,0
TUR,Geothermal,3412,0
TUR,Biomass,13300,206
TUR,Nuclear,10608,0
TWN,Coal,10551,206
TWN,Gas,7732,117
TWN,Oil,11135,117
TWN,Solar,3412,0
TWN,Wind,3412,0
TWN,Waste,8513,117
TWN,Hydro,3412,0
TWN,Geothermal,3412,0
TWN,Biomass,13300,206
TWN,Nuclear,10608,0
TZA,Coal,10551,206
TZA,Gas,7732,117
TZA,Oil,11135,117
TZA,Solar,3412,0
TZA,Wind,3412,0
TZA,Waste,8513,117
TZA,Hydro,3412,0
TZA,Geothermal,3412,0
TZA,Biomass,13300,206
TZA,Nuclear,10608,0
UGA,Coal,10551,206
UGA,Gas,7732,117
UGA,Oil,11135,117
UGA,Solar,3412,0
UGA,Wind,3412,0
UGA,Waste,8513,117
UGA,Hydro,3412,0
UGA,Geothermal,3412,0
UGA,Biomass,13300,206
UGA,Nuclear,10608,0
UKR,Coal,10551,206
UKR,Gas,7732,117
UKR,Oil,11135,117
UKR,Solar,3412,0
UKR,Wind,3412,0
UKR,Waste,8513,117
UKR,Hydro,3412,0
UKR,Geothermal,3412,0
UKR,Biomass,13300,206
UKR,Nuclear,10608,0
URY,Coal,10551,206
URY,Gas,7732,117
URY,Oil,11135,117
URY,Solar,3412,0
URY,Wind,3412,0
URY,Waste,8513,117
URY,Hydro,3412,0
URY,Geothermal,3412,0
URY,Biomass,13300,206
URY,Nuclear,10608,0
USA,Coal,10551,206
USA,Gas,7732,117
USA,Oil,11135,117
USA,Solar,3412,0
USA,Wind,3412,0
USA,Waste,8513,117
USA,Hydro,3412,0
USA,Geothermal,3412,0
USA,Biomass,13300,206
USA,Nuclear,10608,0
UZB,Coal,10551,206
UZB,Gas,7732,117
UZB,Oil,11135,117
UZB,Solar,3412,0
UZB,Wind,3412,0
UZB,Waste,8513,117
UZB,Hydro,3412,0
UZB,Geothermal,3412,0
UZB,Biomass,13300,206
UZB,Nuclear,10608,0
VEN,Coal,10551,206
VEN,Gas,7732,117
VEN,Oil,11135,117
VEN,Solar,3412,0
VEN,Wind,3412,0
VEN,Waste,8513,117
VEN,Hydro,3412,0
VEN,Geothermal,3412,0
VEN,Biomass,13300,206
VEN,Nuclear,10608,0
VNM,Coal,10551,206
VNM,Gas,7732,117
VNM,Oil,11135,117
VNM,Solar,3412,0
VNM,Wind,3412,0
VNM,Waste,8513,117
VNM,Hydro,3412,0
VNM,Geothermal,3412,0
VNM,Biomass,13300,206
VNM,Nuclear,10608,0
YEM,Coal,10551,206
YEM,Gas,7732,117
YEM,Oil,11135,117
YEM,Solar,3412,0
YEM,Wind,3412,0
YEM,Waste,8513,117
YEM,Hydro,3412,0
YEM,Geothermal,3412,0
YEM,Biomass,13300,206
YEM,Nuclear,10608,0
ZAF,Coal,10551,206
ZAF,Gas,7732,117
ZAF,Oil,11135,117
ZAF,Solar,3412,0
ZAF,Wind,3412,0
ZAF,Waste,8513,117
ZAF,Hydro,3412,0
ZAF,Geothermal,3412,0
ZAF,Biomass,13300,206
ZAF,Nuclear,10608,0
ZMB,Coal,10551,206
ZMB,Gas,7732,117
ZMB,Oil,11135,117
ZMB,Solar,3412,0
ZMB,Wind,3412,0
ZMB,Waste,8513,117
ZMB,Hydro,3412,0
ZMB,Geothermal,3412,0
ZMB,Biomass,13300,206
ZMB,Nuclear,10608,0
ZWE,Coal,10551,206
ZWE,Gas,7732,117
ZWE,Oil,11135,117
ZWE,Solar,3412,0
ZWE,Wind,3412,0
ZWE,Waste,8513,117
ZWE,Hydro,3412,0
ZWE,Geothermal,3412,0
ZWE,Biomass,13300,206
ZWE,Nuclear,10608,0
