### This data is primarily pulled from https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf ,,,,,,
"### There were often multiple options for representative plants by fuel (eg advanced nuclear vs small modular reactor) so one was chosen arbitrarily. All values are currently for the US, but nation specific values will be added soon",,,,,,
"### Fuel prices for Biomass and Nuclear are necessary, but did not find them yet",,,,,,
country,primary_fuel,capital_cost_per_kw,fixed_om_per_kw_year,variable_om_per_mwh,discount_rate,fuel_price_per_btu
AUT,Biomass,4097,125.72,4.83,0.06,0
AZE,Coal,3676,40.58,4.5,0.06,3.21E-06
AZE,Gas,958,12.2,1.87,0.06,1.94E-06
AZE,Oil,1810,35.16,5.69,0.06,1.24E-05
AZE,Solar,1313,15.25,0,0.06,0
AZE,Wind,1265,26.34,0,0.06,0
AZE,Waste,1563,20.1,6.2,0.06,0
AZE,Hydro,5316,29.86,0,0.06,0
AZE,Geothermal,2521,128.544,1.16,0.06,0
AZE,CSP,7221,85.4,0,0.06,0
AZE,Nuclear,6041,121.64,2.37,0.06,0
AZE,Biomass,4097,125.72,4.83,0.06,0
BDI,Coal,3676,40.58,4.5,0.06,3.21E-06
BDI,Gas,958,12.2,1.87,0.06,1.94E-06
BDI,Oil,1810,35.16,5.69,0.06,1.24E-05
BDI,Solar,1313,15.25,0,0.06,0
BDI,Wind,1265,26.34,0,0.06,0
BDI,Waste,1563,20.1,6.2,0.06,0
BDI,Hydro,5316,29.86,0,0.06,0
BDI,Geothermal,2521,128.544,1.16,0.06,0
BDI,CSP,7221,85.4,0,0.06,0
BDI,Nuclear,6041,121.64,2.37,0.06,0
BDI,Biomass,4097,125.72,4.83,0.06,0
BEL,Coal,3676,40.58,4.5,0.06,3.21E-06
BEL,Gas,958,12.2,1.87,0.06,1.94E-06
BEL,Oil,1810,35.16,5.69,0.06,1.24E-05
BEL,Solar,1313,15.25,0,0.06,0
BEL,Wind,1265,26.34,0,0.06,0
BEL,Waste,1563,20.1,6.2,0.06,0
BEL,Hydro,5316,29.86,0,0.06,0
BEL,Geothermal,2521,128.544,1.16,0.06,0
BEL,CSP,7221,85.4,0,0.06,0
BEL,Nuclear,6041,121.64,2.37,0.06,0
BEL,Biomass,4097,125.72,4.83,0.06,0
BEN,Coal,3676,40.58,4.5,0.06,3.21E-06
BEN,Gas,958,12.2,1.87,0.06,1.94E-06
BEN,Oil,1810,35.16,5.69,0.06,1.24E-05
BEN,Solar,1313,15.25,0,0.06,0
BEN,Wind,1265,26.34,0,0.06,0
BEN,Waste,1563,20.1,6.2,0.06,0
BEN,Hydro,5316,29.86,0,0.06,0
BEN,Geothermal,2521,128.544,1.16,0.06,0
BEN,CSP,7221,85.4,0,0.06,0
BEN,Nuclear,6041,121.64,2.37,0.06,0
BEN,Biomass,4097,125.72,4.83,0.06,0
BFA,Coal,3676,40.58,4.5,0.06,3.21E-06
BFA,Gas,958,12.2,1.87,0.06,1.94E-06
BFA,Oil,1810,35.16,5.69,0.06,1.24E-05
BFA,Solar,1313,15.25,0,0.06,0
BFA,Wind,1265,26.34,0,0.06,0
BFA,Waste,1563,20.1,6.2,0.06,0
BFA,Hydro,5316,29.86,0,0.06,0
BFA,Geothermal,2521,128.544,1.16,0.06,0
BFA,CSP,7221,85.4,0,0.06,0
BFA,Nuclear,6041,121.64,2.37,0.06,0
BFA,Biomass,4097,125.72,4.83,0.06,0
BGD,Coal,3676,40.58,4.5,0.06,3.21E-06
BGD,Gas,958,12.2,1.87,0.06,1.94E-06
BGD,Oil,1810,35.16,5.69,0.06,1.24E-05
BGD,Solar,1313,15.25,0,0.06,0
BGD,Wind,1265,26.34,0,0.06,0
BGD,Waste,1563,20.1,6.2,0.06,0
BGD,Hydro,5316,29.86,0,0.06,0
BGD,Geothermal,2521,128.544,1.16,0.06,0
BGD,CSP,7221,85.4,0,0.06,0
BGD,Nuclear,6041,121.64,2.37,0.06,0
BGD,Biomass,4097,125.72,4.83,0.06,0
BGR,Coal,3676,40.58,4.5,0.06,3.21E-06
BGR,Gas,958,12.2,1.87,0.06,1.94E-06
BGR,Oil,1810,35.16,5.69,0.06,1.24E-05
BGR,Solar,1313,15.25,0,0.06,0
BGR,Wind,1265,26.34,0,0.06,0
BGR,Waste,1563,20.1,6.2,0.06,0
BGR,Hydro,5316,29.86,0,0.06,0
BGR,Geothermal,2521,128.544,1.16,0.06,0
BGR,CSP,7221,85.4,0,0.06,0
BGR,Nuclear,6041,121.64,2.37,0.06,0
BGR,Biomass,4097,125.72,4.83,0.06,0
BHR,Coal,3676,40.58,4.5,0.06,3.21E-06
BHR,Gas,958,12.2,1.87,0.06,1.94E-06
BHR,Oil,1810,35.16,5.69,0.06,1.24E-05
BHR,Solar,1313,15.25,0,0.06,0
BHR,Wind,1265,26.34,0,0.06,0
BHR,Waste,1563,20.1,6.2,0.06,0
BHR,Hydro,5316,29.86,0,0.06,0
BHR,Geothermal,2521,128.544,1.16,0.06,0
BHR,CSP,7221,85.4,0,0.06,0
BHR,Nuclear,6041,121.64,2.37,0.06,0
