### This data is primarily pulled from https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf ,,,,,,
"### There were often multiple options for representative plants by fuel (eg advanced nuclear vs small modular reactor) so one was chosen arbitrarily. All values are currently for the US, but nation specific values will be added soon",,,,,,
"### Fuel prices for Biomass and Nuclear are necessary, but did not find them yet",,,,,,
country,primary_fuel,capital_cost_per_kw,fixed_om_per_kw_year,variable_om_per_mwh,discount_rate,fuel_price_per_btu
EGY,Coal,3676,40.58,4.5,0.06,3.21E-06
EGY,Gas,958,12.2,1.87,0.06,1.94E-06
EGY,Oil,1810,35.16,5.69,0.06,1.24E-05
EGY,Solar,1313,15.25,0,0.06,0
EGY,Wind,1265,26.34,0,0.06,0
EGY,Waste,1563,20.1,6.2,0.06,0
EGY,Hydro,5316,29.86,0,0.06,0
EGY,Geothermal,2521,128.544,1.16,0.06,0
EGY,CSP,7221,85.4,0,0.06,0
EGY,Nuclear,6041,121.64,2.37,0.06,0
EGY,Biomass,4097,125.72,4.83,0.06,0
ERI,Coal,3676,40.58,4.5,0.06,3.21E-06
ERI,Gas,958,12.2,1.87,0.06,1.94E-06
ERI,Oil,1810,35.16,5.69,0.06,1.24E-05
ERI,Solar,1313,15.25,0,0.06,0
ERI,Wind,1265,26.34,0,0.06,0
ERI,Waste,1563,20.1,6.2,0.06,0
ERI,Hydro,5316,29.86,0,0.06,0
ERI,Geothermal,2521,128.544,1.16,0.06,0
ERI,CSP,7221,85.4,0,0.06,0
ERI,Nuclear,6041,121.64,2.37,0.06,0
ERI,Biomass,4097,125.72,4.83,0.06,0
ESH,Coal,3676,40.58,4.5,0.06,3.21E-06
ESH,Gas,958,12.2,1.87,0.06,1.94E-06
ESH,Oil,1810,35.16,5.69,0.06,1.24E-05
ESH,Solar,1313,15.25,0,0.06,0
ESH,Wind,1265,26.34,0,0.06,0
ESH,Waste,1563,20.1,6.2,0.06,0
ESH,Hydro,5316,29.86,0,0.06,0
ESH,Geothermal,2521,128.544,1.16,0.06,0
ESH,CSP,7221,85.4,0,0.06,0
ESH,Nuclear,6041,121.64,2.37,0.06,0
ESH,Biomass,4097,125.72,4.83,0.06,0
ESP,Coal,3676,40.58,4.5,0.06,3.21E-06
ESP,Gas,958,12.2,1.87,0.06,1.94E-06
ESP,Oil,1810,35.16,5.69,0.06,1.24E-05
ESP,Solar,1313,15.25,0,0.06,0
ESP,Wind,1265,26.34,0,0.06,0
ESP,Waste,1563,20.1,6.2,0.06,0
ESP,Hydro,5316,29.86,0,0.06,0
ESP,Geothermal,2521,128.544,1.16,0.06,0
ESP,CSP,7221,85.4,0,0.06,0
ESP,Nuclear,6041,121.64,2.37,0.06,0
ESP,Biomass,4097,125.72,4.83,0.06,0
EST,Coal,3676,40.58,4.5,0.06,3.21E-06
EST,Gas,958,12.2,1.87,0.06,1.94E-06
EST,Oil,1810,35.16,5.69,0.06,1.24E-05
EST,Solar,1313,15.25,0,0.06,0
EST,Wind,1265,26.34,0,0.06,0
EST,Waste,1563,20.1,6.2,0.06,0
EST,Hydro,5316,29.86,0,0.06,0
EST,Geothermal,2521,128.544,1.16,0.06,0
EST,CSP,7221,85.4,0,0.06,0
EST,Nuclear,6041,121.64,2.37,0.06,0
EST,Biomass,4097,125.72,4.83,0.06,0
ETH,Coal,3676,40.58,4.5,0.06,3.21E-06
ETH,Gas,958,12.2,1.87,0.06,1.94E-06
ETH,Oil,1810,35.16,5.69,0.06,1.24E-05
ETH,Solar,1313,15.25,0,0.06,0
ETH,Wind,1265,26.34,0,0.06,0
ETH,Waste,1563,20.1,6.2,0.06,0
ETH,Hydro,5316,29.86,0,0.06,0
ETH,Geothermal,2521,128.544,1.16,0.06,0
ETH,CSP,7221,85.4,0,0.06,0
ETH,Nuclear,6041,121.64,2.37,0.06,0
ETH,Biomass,4097,125.72,4.83,0.06,0
FIN,Coal,3676,40.58,4.5,0.06,3.21E-06
FIN,Gas,958,12.2,1.87,0.06,1.94E-06
FIN,Oil,1810,35.16,5.69,0.06,1.24E-05
FIN,Solar,1313,15.25,0,0.06,0
FIN,Wind,1265,26.34,0,0.06,0
FIN,Waste,1563,20.1,6.2,0.06,0
FIN,Hydro,5316,29.86,0,0.06,0
FIN,Geothermal,2521,128.544,1.16,0.06,0
FIN,CSP,7221,85.4,0,0.06,0
FIN,Nuclear,6041,121.64,2.37,0.06,0
FIN,Biomass,4097,125.72,4.83,0.06,0
FJI,Coal,3676,40.58,4.5,0.06,3.21E-06
FJI,Gas,958,12.2,1.87,0.06,1.94E-06
FJI,Oil,1810,35.16,5.69,0.06,1.24E-05
FJI,Solar,1313,15.25,0,0.06,0
FJI,Wind,1265,26.34,0,0.06,0
FJI,Waste,1563,20.1,6.2,0.06,0
FJI,Hydro,5316,29.86,0,0.06,0
FJI,Geothermal,2521,128.544,1.16,0.06,0
FJI,CSP,7221,85.4,0,0.06,0
FJI,Nuclear,6041,121.64,2.37,0.06,0
FJI,Biomass,4097,125.72,4.83,0.06,0
FRA,Coal,3676,40.58,4.5,0.06,3.21E-06
FRA,Gas,958,12.2,1.87,0.06,1.94E-06
FRA,Oil,1810,35.16,5.69,0.06,1.24E-05
FRA,Solar,1313,15.25,0,0.06,0
FRA,Wind,1265,26.34,0,0.06,0
FRA,Waste,1563,20.1,6.2,0.06,0
FRA,Hydro,5316,29.86,0,0.06,0
FRA,Geothermal,2521,128.544,1.16,0.06,0
FRA,CSP,7221,85.4,0,0.06,0
FRA,Nuclear,6041,121.64,2.37,0.06,0
FRA,Biomass,4097,125.72,4.83,0.06,0
GAB,Coal,3676,40.58,4.5,0.06,3.21E-06
GAB,Gas,958,12.2,1.87,0.06,1.94E-06
GAB,Oil,1810,35.16,5.69,0.06,1.24E-05
GAB,Solar,1313,15.25,0,0.06,0
GAB,Wind,1265,26.34,0,0.06,0
GAB,Waste,1563,20.1,6.2,0.06,0
GAB,Hydro,5316,29.86,0,0.06,0
GAB,Geothermal,2521,128.544,1.16,0.06,0
GAB,CSP,7221,85.4,0,0.06,0
GAB,Nuclear,6041,121.64,2.37,0.06,0
GAB,Biomass,4097,125.72,4.83,0.06,0
GBR,Coal,3676,40.58,4.5,0.06,3.21E-06
GBR,Gas,958,12.2,1.87,0.06,1.94E-06
GBR,Oil,1810,35.16,5.69,0.06,1.24E-05
GBR,Solar,1313,15.25,0,0.06,0
GBR,Wind,1265,26.34,0,0.06,0
GBR,Waste,1563,20.1,6.2,0.06,0
GBR,Hydro,5316,29.86,0,0.06,0
GBR,Geothermal,2521,128.544,1.16,0.06,0
GBR,CSP,7221,85.4,0,0.06,0
GBR,Nuclear,6041,121.64,2.37,0.06,0
GBR,Biomass,4097,125.72,4.83,0.06,0
GEO,Coal,3676,40.58,4.5,0.06,3.21E-06
GEO,Gas,958,12.2,1.87,0.06,1.94E-06
GEO,Oil,1810,35.16,5.69,0.06,1.24E-05
GEO,Solar,1313,15.25,0,0.06,0
GEO,Wind,1265,26.34,0,0.06,0
GEO,Waste,1563,20.1,6.2,0.06,0
GEO,Hydro,5316,29.86,0,0.06,0
GEO,Geothermal,2521,128.544,1.16,0.06,0
GEO,CSP,7221,85.4,0,0.06,0
GEO,Nuclear,6041,121.64,2.37,0.06,0
GEO,Biomass,4097,125.72,4.83,0.06,0
GHA,Coal,3676,40.58,4.5,0.06,3.21E-06
GHA,Gas,958,12.2,1.87,0.06,1.94E-06
GHA,Oil,1810,35.16,5.69,0.06,1.24E-05
GHA,Solar,1313,15.25,0,0.06,0
GHA,Wind,1265,26.34,0,0.06,0
GHA,Waste,1563,20.1,6.2,0.06,0
GHA,Hydro,5316,29.86,0,0.06,0
GHA,Geothermal,2521,128.544,1.16,0.06,0
GHA,CSP,7221,85.4,0,0.06,0
GHA,Nuclear,6041,121.64,2.37,0.06,0
GHA,Biomass,4097,125.72,4.83,0.06,0
GIN,Coal,3676,40.58,4.5,0.06,3.21E-06
GIN,Gas,958,12.2,1.87,0.06,1.94E-06
GIN,Oil,1810,35.16,5.69,0.06,1.24E-05
GIN,Solar,1313,15.25,0,0.06,0
GIN,Wind,1265,26.34,0,0.06,0
GIN,Waste,1563,20.1,6.2,0.06,0
GIN,Hydro,5316,29.86,0,0.06,0
GIN,Geothermal,2521,128.544,1.16,0.06,0
GIN,CSP,7221,85.4,0,0.06,0
GIN,Nuclear,6041,121.64,2.37,0.06,0
GIN,Biomass,4097,125.72,4.83,0.06,0
GMB,Coal,3676,40.58,4.5,0.06,3.21E-06
GMB,Gas,958,12.2,1.87,0.06,1.94E-06
GMB,Oil,1810,35.16,5.69,0.06,1.24E-05
GMB,Solar,1313,15.25,0,0.06,0
GMB,Wind,1265,26.34,0,0.06,0
GMB,Waste,1563,20.1,6.2,0.06,0
GMB,Hydro,5316,29.86,0,0.06,0
GMB,Geothermal,2521,128.544,1.16,0.06,0
GMB,CSP,7221,85.4,0,0.06,0
GMB,Nuclear,6041,121.64,2.37,0.06,0
GMB,Biomass,4097,125.72,4.83,0.06,0
GNB,Coal,3676,40.58,4.5,0.06,3.21E-06
GNB,Gas,958,12.2,1.87,0.06,1.94E-06
GNB,Oil,1810,35.16,5.69,0.06,1.24E-05
GNB,Solar,1313,15.25,0,0.06,0
GNB,Wind,1265,26.34,0,0.06,0
GNB,Waste,1563,20.1,6.2,0.06,0
GNB,Hydro,5316,29.86,0,0.06,0
GNB,Geothermal,2521,128.544,1.16,0.06,0
GNB,CSP,7221,85.4,0,0.06,0
GNB,Nuclear,6041,121.64,2.37,0.06,0
GNB,Biomass,4097,125.72,4.83,0.06,0
GNQ,Coal,3676,40.58,4.5,0.06,3.21E-06
GNQ,Gas,958,12.2,1.87,0.06,1.94E-06
GNQ,Oil,1810,35.16,5.69,0.06,1.24E-05
GNQ,Solar,1313,15.25,0,0.06,0
GNQ,Wind,1265,26.34,0,0.06,0
GNQ,Waste,1563,20.1,6.2,0.06,0
GNQ,Hydro,5316,29.86,0,0.06,0
GNQ,Geothermal,2521,128.544,1.16,0.06,0
GNQ,CSP,7221,85.4,0,0.06,0
GNQ,Nuclear,6041,121.64,2.37,0.06,0
GNQ,Biomass,4097,125.72,4.83,0.06,0
GRC,Coal,3676,40.58,4.5,0.06,3.21E-06
GRC,Gas,958,12.2,1.87,0.06,1.94E-06
GRC,Oil,1810,35.16,5.69,0.06,1.24E-05
GRC,Solar,1313,15.25,0,0.06,0
GRC,Wind,1265,26.34,0,0.06,0
GRC,Waste,1563,20.1,6.2,0.06,0
GRC,Hydro,5316,29.86,0,0.06,0
GRC,Geothermal,2521,128.544,1.16,0.06,0
GRC,CSP,7221,85.4,0,0.06,0
GRC,Nuclear,6041,121.64,2.37,0.06,0
GRC,Biomass,4097,125.72,4.83,0.06,0
GTM,Coal,3676,40.58,4.5,0.06,3.21E-06
GTM,Gas,958,12.2,1.87,0.06,1.94E-06
GTM,Oil,1810,35.16,5.69,0.06,1.24E-05
GTM,Solar,1313,15.25,0,0.06,0
GTM,Wind,1265,26.34,0,0.06,0
GTM,Waste,1563,20.1,6.2,0.06,0
GTM,Hydro,5316,29.86,0,0.06,0
GTM,Geothermal,2521,128.544,1.16,0.06,0
GTM,CSP,7221,85.4,0,0.06,0
GTM,Nuclear,6041,121.64,2.37,0.06,0
GTM,Biomass,4097,125.72,4.83,0.06,0
GUF,Coal,3676,40.58,4.5,0.06,3.21E-06
GUF,Gas,958,12.2,1.87,0.06,1.94E-06
GUF,Oil,1810,35.16,5.69,0.06,1.24E-05
GUF,Solar,1313,15.25,0,0.06,0
GUF,Wind,1265,26.34,0,0.06,0
GUF,Waste,1563,20.1,6.2,0.06,0
GUF,Hydro,5316,29.86,0,0.06,0
GUF,Geothermal,2521,128.544,1.16,0.06,0
GUF,CSP,7221,85.4,0,0.06,0
GUF,Nuclear,6041,121.64,2.37,0.06,0
GUF,Biomass,4097,125.72,4.83,0.06,0
GUY,Coal,3676,40.58,4.5,0.06,3.21E-06
GUY,Gas,958,12.2,1.87,0.06,1.94E-06
GUY,Oil,1810,35.16,5.69,0.06,1.24E-05
GUY,Solar,1313,15.25,0,0.06,0
GUY,Wind,1265,26.34,0,0.06,0
GUY,Waste,1563,20.1,6.2,0.06,0
GUY,Hydro,5316,29.86,0,0.06,0
GUY,Geothermal,2521,128.544,1.16,0.06,0
GUY,CSP,7221,85.4,0,0.06,0
GUY,Nuclear,6041,121.64,2.37,0.06,0
GUY,Biomass,4097,125.72,4.83,0.06,0
HND,Coal,3676,40.58,4.5,0.06,3.21E-06
HND,Gas,958,12.2,1.87,0.06,1.94E-06
HND,Oil,1810,35.16,5.69,0.06,1.24E-05
HND,Solar,1313,15.25,0,0.06,0
HND,Wind,1265,26.34,0,0.06,0
HND,Waste,1563,20.1,6.2,0.06,0
HND,Hydro,5316,29.86,0,0.06,0
HND,Geothermal,2521,128.544,1.16,0.06,0
HND,CSP,7221,85.4,0,0.06,0
HND,Nuclear,6041,121.64,2.37,0.06,0
HND,Biomass,4097,125.72,4.83,0.06,0
HRV,Coal,3676,40.58,4.5,0.06,3.21E-06
HRV,Gas,958,12.2,1.87,0.06,1.94E-06
HRV,Oil,1810,35.16,5.69,0.06,1.24E-05
HRV,Solar,1313,15.25,0,0.06,0
HRV,Wind,1265,26.34,0,0.06,0
HRV,Waste,1563,20.1,6.2,0.06,0
HRV,Hydro,5316,29.86,0,0.06,0
HRV,Geothermal,2521,128.544,1.16,0.06,0
HRV,CSP,7221,85.4,0,0.06,0
HRV,Nuclear,6041,121.64,2.37,0.06,0
HRV,Biomass,4097,125.72,4.83,0.06,0
HUN,Coal,3676,40.58,4.5,0.06,3.21E-06
HUN,Gas,958,12.2,1.87,0.06,1.94E-06
HUN,Oil,1810,35.16,5.69,0.06,1.24E-05
HUN,Solar,1313,15.25,0,0.06,0
HUN,Wind,1265,26.34,0,0.06,0
HUN,Waste,1563,20.1,6.2,0.06,0
HUN,Hydro,5316,29.86,0,0.06,0
HUN,Geothermal,2521,128.544,1.16,0.06,0
HUN,CSP,7221,85.4,0,0.06,0
HUN,Nuclear,6041,121.64,2.37,0.06,0
HUN,Biomass,4097,125.72,4.83,0.06,0
IDN,Coal,3676,40.58,4.5,0.06,3.21E-06
IDN,Gas,958,12.2,1.87,0.06,1.94E-06
IDN,Oil,1810,35.16,5.69,0.06,1.24E-05
IDN,Solar,1313,15.25,0,0.06,0
IDN,Wind,1265,26.34,0,0.06,0
IDN,Waste,1563,20.1,6.2,0.06,0
IDN,Hydro,5316,29.86,0,0.06,0
IDN,Geothermal,2521,128.544,1.16,0.06,0
IDN,CSP,7221,85.4,0,0.06,0
IDN,Nuclear,6041,121.64,2.37,0.06,0
IDN,Biomass,4097,125.72,4.83,0.06,0
IND,Coal,3676,40.58,4.5,0.06,3.21E-06
IND,Gas,958,12.2,1.87,0.06,1.94E-06
IND,Oil,1810,35.16,5.69,0.06,1.24E-05
IND,Solar,1313,15.25,0,0.06,0
IND,Wind,1265,26.34,0,0.06,0
IND,Waste,1563,20.1,6.2,0.06,0
IND,Hydro,5316,29.86,0,0.06,0
IND,Geothermal,2521,128.544,1.16,0.06,0
IND,CSP,7221,85.4,0,0.06,0
IND,Nuclear,6041,121.64,2.37,0.06,0
IND,Biomass,4097,125.72,4.83,0.06,0
IRL,Coal,3676,40.58,4.5,0.06,3.21E-06
IRL,Gas,958,12.2,1.87,0.06,1.94E-06
IRL,Oil,1810,35.16,5.69,0.06,1.24E-05
IRL,Solar,1313,15.25,0,0.06,0
IRL,Wind,1265,26.34,0,0.06,0
IRL,Waste,1563,20.1,6.2,0.06,0
IRL,Hydro,5316,29.86,0,0.06,0
IRL,Geothermal,2521,128.544,1.16,0.06,0
IRL,CSP,7221,85.4,0,0.06,0
IRL,Nuclear,6041,121.64,2.37,0.06,0
IRL,Biomass,4097,125.72,4.83,0.06,0
IRN,Coal,3676,40.58,4.5,0.06,3.21E-06
IRN,Gas,958,12.2,1.87,0.06,1.94E-06
IRN,Oil,1810,35.16,5.69,0.06,1.24E-05
IRN,Solar,1313,15.25,0,0.06,0
IRN,Wind,1265,26.34,0,0.06,0
IRN,Waste,1563,20.1,6.2,0.06,0
IRN,Hydro,5316,29.86,0,0.06,0
IRN,Geothermal,2521,128.544,1.16,0.06,0
IRN,CSP,7221,85.4,0,0.06,0
IRN,Nuclear,6041,121.64,2.37,0.06,0
IRN,Biomass,4097,125.72,4.83,0.06,0
IRQ,Coal,3676,40.58,4.5,0.06,3.21E-06
IRQ,Gas,958,12.2,1.87,0.06,1.94E-06
IRQ,Oil,1810,35.16,5.69,0.06,1.24E-05
IRQ,Solar,1313,15.25,0,0.06,0
IRQ,Wind,1265,26.34,0,0.06,0
IRQ,Waste,1563,20.1,6.2,0.06,0
IRQ,Hydro,5316,29.86,0,0.06,0
IRQ,Geothermal,2521,128.544,1.16,0.06,0
IRQ,CSP,7221,85.4,0,0.06,0
IRQ,Nuclear,6041,121.64,2.37,0.06,0
IRQ,Biomass,4097,125.72,4.83,0.06,0
ISL,Coal,3676,40.58,4.5,0.06,3.21E-06
ISL,Gas,958,12.2,1.87,0.06,1.94E-06
ISL,Oil,1810,35.16,5.69,0.06,1.24E-05
ISL,Solar,1313,15.25,0,0.06,0
ISL,Wind,1265,26.34,0,0.06,0
ISL,Waste,1563,20.1,6.2,0.06,0
ISL,Hydro,5316,29.86,0,0.06,0
ISL,Geothermal,2521,128.544,1.16,0.06,0
ISL,CSP,7221,85.4,0,0.06,0
ISL,Nuclear,6041,121.64,2.37,0.06,0
ISL,Biomass,4097,125.72,4.83,0.06,0
ISR,Coal,3676,40.58,4.5,0.06,3.21E-06
ISR,Gas,958,12.2,1.87,0.06,1.94E-06
ISR,Oil,1810,35.16,5.69,0.06,1.24E-05
ISR,Solar,1313,15.25,0,0.06,0
ISR,Wind,1265,26.34,0,0.06,0
ISR,Waste,1563,20.1,6.2,0.06,0
ISR,Hydro,5316,29.86,0,0.06,0
ISR,Geothermal,2521,128.544,1.16,0.06,0
ISR,CSP,7221,85.4,0,0.06,0
ISR,Nuclear,6041,121.64,2.37,0.06,0
ISR,Biomass,4097,125.72,4.83,0.06,0
ITA,Coal,3676,40.58,4.5,0.06,3.21E-06
ITA,Gas,958,12.2,1.87,0.06,1.94E-06
ITA,Oil,1810,35.16,5.69,0.06,1.24E-05
ITA,Solar,1313,15.25,0,0.06,0
ITA,Wind,1265,26.34,0,0.06,0
ITA,Waste,1563,20.1,6.2,0.06,0
ITA,Hydro,5316,29.86,0,0.06,0
ITA,Geothermal,2521,128.544,1.16,0.06,0
ITA,CSP,7221,85.4,0,0.06,0
ITA,Nuclear,6041,121.64,2.37,0.06,0
ITA,Biomass,4097,125.72,4.83,0.06,0
JAM,Coal,3676,40.58,4.5,0.06,3.21E-06
JAM,Gas,958,12.2,1.87,0.06,1.94E-06
JAM,Oil,1810,35.16,5.69,0.06,1.24E-05
JAM,Solar,1313,15.25,0,0.06,0
JAM,Wind,1265,26.34,0,0.06,0
JAM,Waste,1563,20.1,6.2,0.06,0
JAM,Hydro,5316,29.86,0,0.06,0
JAM,Geothermal,2521,128.544,1.16,0.06,0
JAM,CSP,7221,85.4,0,0.06,0
JAM,Nuclear,6041,121.64,2.37,0.06,0
JAM,Biomass,4097,125.72,4.83,0.06,0
JOR,Coal,3676,40.58,4.5,0.06,3.21E-06
JOR,Gas,958,12.2,1.87,0.06,1.94E-06
JOR,Oil,1810,35.16,5.69,0.06,1.24E-05
JOR,Solar,1313,15.25,0,0.06,0
JOR,Wind,1265,26.34,0,0.06,0
JOR,Waste,1563,20.1,6.2,0.06,0
JOR,Hydro,5316,29.86,0,0.06,0
JOR,Geothermal,2521,128.544,1.16,0.06,0
JOR,CSP,7221,85.4,0,0.06,0
JOR,Nuclear,6041,121.64,2.37,0.06,0
JOR,Biomass,4097,125.72,4.83,0.06,0
JPN,Coal,3676,40.58,4.5,0.06,3.21E-06
JPN,Gas,958,12.2,1.87,0.06,1.94E-06
JPN,Oil,1810,35.16,5.69,0.06,1.24E-05
JPN,Solar,1313,15.25,0,0.06,0
JPN,Wind,1265,26.34,0,0.06,0
JPN,Waste,1563,20.1,6.2,0.06,0
JPN,Hydro,5316,29.86,0,0.06,0
JPN,Geothermal,2521,128.544,1.16,0.06,0
JPN,CSP,7221,85.4,0,0.06,0
JPN,Nuclear,6041,121.64,2.37,0.06,0
JPN,Biomass,4097,125.72,4.83,0.06,0
KAZ,Coal,3676,40.58,4.5,0.06,3.21E-06
KAZ,Gas,958,12.2,1.87,0.06,1.94E-06
KAZ,Oil,1810,35.16,5.69,0.06,1.24E-05
KAZ,Solar,1313,15.25,0,0.06,0
KAZ,Wind,1265,26.34,0,0.06,0
KAZ,Waste,1563,20.1,6.2,0.06,0
KAZ,Hydro,5316,29.86,0,0.06,0
KAZ,Geothermal,2521,128.544,1.16,0.06,0
KAZ,CSP,7221,85.4,0,0.06,0
KAZ,Nuclear,6041,121.64,2.37,0.06,0
KAZ,Biomass,4097,125.72,4.83,0.06,0
KEN,Coal,3676,40.58,4.5,0.06,3.21E-06
KEN,Gas,958,12.2,1.87,0.06,1.94E-06
KEN,Oil,1810,35.16,5.69,0.06,1.24E-05
KEN,Solar,1313,15.25,0,0.06,0
KEN,Wind,1265,26.34,0,0.06,0
KEN,Waste,1563,20.1,6.2,0.06,0
KEN,Hydro,5316,29.86,0,0.06,0
KEN,Geothermal,2521,128.544,1.16,0.06,0
KEN,CSP,7221,85.4,0,0.06,0
KEN,Nuclear,6041,121.64,2.37,0.06,0
KEN,Biomass,4097,125.72,4.83,0.06,0
KGZ,Coal,3676,40.58,4.5,0.06,3.21E-06
KGZ,Gas,958,12.2,1.87,0.06,1.94E-06
KGZ,Oil,1810,35.16,5.69,0.06,1.24E-05
KGZ,Solar,1313,15.25,0,0.06,0
KGZ,Wind,1265,26.34,0,0.06,0
KGZ,Waste,1563,20.1,6.2,0.06,0
KGZ,Hydro,5316,29.86,0,0.06,0
KGZ,Geothermal,2521,128.544,1.16,0.06,0
KGZ,CSP,7221,85.4,0,0.06,0
KGZ,Nuclear,6041,121.64,2.37,0.06,0
KGZ,Biomass,4097,125.72,4.83,0.06,0
KHM,Coal,3676,40.58,4.5,0.06,3.21E-06
KHM,Gas,958,12.2,1.87,0.06,1.94E-06
KHM,Oil,1810,35.16,5.69,0.06,1.24E-05
KHM,Solar,1313,15.25,0,0.06,0
KHM,Wind,1265,26.34,0,0.06,0
KHM,Waste,1563,20.1,6.2,0.06,0
KHM,Hydro,5316,29.86,0,0.06,0
KHM,Geothermal,2521,128.544,1.16,0.06,0
KHM,CSP,7221,85.4,0,0.06,0
KHM,Nuclear,6041,121.64,2.37,0.06,0
KHM,Biomass,4097,125.72,4.83,0.06,0
KOR,Coal,3676,40.58,4.5,0.06,3.21E-06
KOR,Gas,958,12.2,1.87,0.06,1.94E-06
KOR,Oil,1810,35.16,5.69,0.06,1.24E-05
KOR,Solar,1313,15.25,0,0.06,0
KOR,Wind,1265,26.34,0,0.06,0
KOR,Waste,1563,20.1,6.2,0.06,0
KOR,Hydro,5316,29.86,0,0.06,0
KOR,Geothermal,2521,128.544,1.16,0.06,0
KOR,CSP,7221,85.4,0,0.06,0
KOR,Nuclear,6041,121.64,2.37,0.06,0
KOR,Biomass,4097,125.72,4.83,0.06,0
KOS,Coal,3676,40.58,4.5,0.06,3.21E-06
KOS,Gas,958,12.2,1.87,0.06,1.94E-06
KOS,Oil,1810,35.16,5.69,0.06,1.24E-05
KOS,Solar,1313,15.25,0,0.06,0
KOS,Wind,1265,26.34,0,0.06,0
KOS,Waste,1563,20.1,6.2,0.06,0
KOS,Hydro,5316,29.86,0,0.06,0
KOS,Geothermal,2521,128.544,1.16,0.06,0
KOS,CSP,7221,85.4,0,0.06,0
KOS,Nuclear,6041,121.64,2.37,0.06,0
KOS,Biomass,4097,125.72,4.83,0.06,0
KWT,Coal,3676,40.58,4.5,0.06,3.21E-06
KWT,Gas,958,12.2,1.87,0.06,1.94E-06
KWT,Oil,1810,35.16,5.69,0.06,1.24E-05
KWT,Solar,1313,15.25,0,0.06,0
KWT,Wind,1265,26.34,0,0.06,0
KWT,Waste,1563,20.1,6.2,0.06,0
KWT,Hydro,5316,29.86,0,0.06,0
KWT,Geothermal,2521,128.544,1.16,0.06,0
KWT,CSP,7221,85.4,0,0.06,0
KWT,Nuclear,6041,121.64,2.37,0.06,0
KWT,Biomass,4097,125.72,4.83,0.06,0
LAO,Coal,3676,40.58,4.5,0.06,3.21E-06
LAO,Gas,958,12.2,1.87,0.06,1.94E-06
LAO,Oil,1810,35.16,5.69,0.06,1.24E-05
LAO,Solar,1313,15.25,0,0.06,0
LAO,Wind,1265,26.34,0,0.06,0
LAO,Waste,1563,20.1,6.2,0.06,0
LAO,Hydro,5316,29.86,0,0.06,0
LAO,Geothermal,2521,128.544,1.16,0.06,0
LAO,CSP,7221,85.4,0,0.06,0
LAO,Nuclear,6041,121.64,2.37,0.06,0
LAO,Biomass,4097,125.72,4.83,0.06,0
LBN,Coal,3676,40.58,4.5,0.06,3.21E-06
LBN,Gas,958,12.2,1.87,0.06,1.94E-06
LBN,Oil,1810,35.16,5.69,0.06,1.24E-05
LBN,Solar,1313,15.25,0,0.06,0
LBN,Wind,1265,26.34,0,0.06,0
LBN,Waste,1563,20.1,6.2,0.06,0
LBN,Hydro,5316,29.86,0,0.06,0
LBN,Geothermal,2521,128.544,1.16,0.06,0
LBN,CSP,7221,85.4,0,0.06,0
LBN,Nuclear,6041,121.64,2.37,0.06,0
LBN,Biomass,4097,125.72,4.83,0.06,0
LBR,Coal,3676,40.58,4.5,0.06,3.21E-06
LBR,Gas,958,12.2,1.87,0.06,1.94E-06
LBR,Oil,1810,35.16,5.69,0.06,1.24E-05
LBR,Solar,1313,15.25,0,0.06,0
LBR,Wind,1265,26.34,0,0.06,0
LBR,Waste,1563,20.1,6.2,0.06,0
LBR,Hydro,5316,29.86,0,0.06,0
LBR,Geothermal,2521,128.544,1.16,0.06,0
LBR,CSP,7221,85.4,0,0.06,0
LBR,Nuclear,6041,121.64,2.37,0.06,0
LBR,Biomass,4097,125.72,4.83,0.06,0
LBY,Coal,3676,40.58,4.5,0.06,3.21E-06
LBY,Gas,958,12.2,1.87,0.06,1.94E-06
LBY,Oil,1810,35.16,5.69,0.06,1.24E-05
LBY,Solar,1313,15.25,0,0.06,0
LBY,Wind,1265,26.34,0,0.06,0
LBY,Waste,1563,20.1,6.2,0.06,0
LBY,Hydro,5316,29.86,0,0.06,0
LBY,Geothermal,2521,128.544,1.16,0.06,0
LBY,CSP,7221,85.4,0,0.06,0
LBY,Nuclear,6041,121.64,2.37,0.06,0
LBY,Biomass,4097,125.72,4.83,0.06,0
LKA,Coal,3676,40.58,4.5,0.06,3.21E-06
LKA,Gas,958,12.2,1.87,0.06,1.94E-06
LKA,Oil,1810,35.16,5.69,0.06,1.24E-05
LKA,Solar,1313,15.25,0,0.06,0
LKA,Wind,1265,26.34,0,0.06,0
LKA,Waste,1563,20.1,6.2,0.06,0
LKA,Hydro,5316,29.86,0,0.06,0
LKA,Geothermal,2521,128.544,1.16,0.06,0
LKA,CSP,7221,85.4,0,0.06,0
LKA,Nuclear,6041,121.64,2.37,0.06,0
LKA,Biomass,4097,125.72,4.83,0.06,0
LSO,Coal,3676,40.58,4.5,0.06,3.21E-06
LSO,Gas,958,12.2,1.87,0.06,1.94E-06
LSO,Oil,1810,35.16,5.69,0.06,1.24E-05
LSO,Solar,1313,15.25,0,0.06,0
LSO,Wind,1265,26.34,0,0.06,0
LSO,Waste,1563,20.1,6.2,0.06,0
LSO,Hydro,5316,29.86,0,0.06,0
LSO,Geothermal,2521,128.544,1.16,0.06,0
LSO,CSP,7221,85.4,0,0.06,0
