"country","country_long","name","latitude","longitude","primary_fuel","state","nerc"
"USA","United States of America","West Liberty",41.5691,-91.264,"Oil","IA","MRO"
"USA","United States of America","West Marinette",45.0869,-87.6881,"Gas","WI","MRO"
"USA","United States of America","West Marinette 34",45.0869,-87.6892,"Gas","WI","MRO"
"USA","United States of America","West Pemberton",40.0067,-74.7303,"Solar",NA,NA
"USA","United States of America","West Phoenix",33.4417,-112.1583,"Gas","AZ","WECC"
"USA","United States of America","West Point (GA)",32.9187,-85.1887,"Hydro",NA,NA
"USA","United States of America","West Point (PA)",40.2205,-75.3016,"Gas","PA","RFC"
"USA","United States of America","West Point Municipal",41.8449,-96.7134,"Gas","NE","MRO"
"USA","United States of America","West Point PH",38.4209,-120.5496,"Hydro",NA,NA
"USA","United States of America","West Point Treatment Plant",47.6611,-122.4464,"Biomass",NA,NA
"USA","United States of America","West Receiving",42.0217,-95.3633,"Oil","IA","MRO"
"USA","United States of America","West Salisbury Farm LLC",35.6683,-80.5236,"Solar",NA,NA
"USA","United States of America","West Siler Farm LLC",35.7214,-79.5044,"Solar",NA,NA
"USA","United States of America","West Station (DE)",39.7283,-75.6289,"Oil","DE","RFC"
"USA","United States of America","West Station (NJ)",39.4912,-75.0486,"Oil","NJ","RFC"
"USA","United States of America","West Tennessee Solar Farm",35.4086,-89.3875,"Solar",NA,NA
"USA","United States of America","West Texas Wind Energy LLC",31.1392,-102.2253,"Wind",NA,NA
"USA","United States of America","West Tisbury Generating Facility",41.3925,-70.6201,"Oil","MA","NPCC"
"USA","United States of America","West Valley Generation Project",40.6667,-112.0317,"Gas","UT","WECC"
"USA","United States of America","West Valley High School Solar",33.7197,-117.0097,"Solar",NA,NA
"USA","United States of America","West Waconia Solar",44.7899,-93.9013,"Solar",NA,NA
"USA","United States of America","WestRock (IL)",41.7697,-88.28,"Gas","IL","RFC"
"USA","United States of America","WestRock (TX)",30.3419,-94.0656,"Biomass","TX","TRE"
"USA","United States of America","WestRock (WA)",47.2661,-122.4283,"Biomass","WA","WECC"
"USA","United States of America","WestRock Panama City Mill",30.142,-85.6211,"Waste","FL","SERC"
"USA","United States of America","WestRock Southeast  LLC.",32.5036,-82.8443,"Other",NA,NA
"USA","United States of America","WestRock-West Point Mill",37.5392,-76.8053,"Biomass","VA","SERC"
"USA","United States of America","Westar Cities Solar",38.0194,-97.9753,"Solar",NA,NA
"USA","United States of America","Westborough Solar LLC",42.2633,-71.6092,"Solar",NA,NA
"USA","United States of America","Westbrook",44.0399,-95.4429,"Oil","MN","MRO"
