name,class,attribute,value
ARE_Gas_KhorfakkanStat18302,Generator,Longitude,56.3401
ARE_Gas_LayyahPowerSt18303,Generator,Latitude,25.3527
ARE_Gas_LayyahPowerSt18303,Generator,Longitude,55.3705
ARE_Gas_NewMirfahMIP18305,Generator,Latitude,24.104
ARE_Gas_NewMirfahMIP18305,Generator,Longitude,53.4264
ARE_Gas_ShuweihatS118308,Generator,Latitude,24.165
ARE_Gas_ShuweihatS118308,Generator,Longitude,52.568
ARE_Gas_TAPCO18309,Generator,Latitude,24.768
ARE_Gas_TAPCO18309,Generator,Longitude,54.6873
ARE_Gas_TaweelahA118310,Generator,Latitude,24.7609
ARE_Gas_TaweelahA118310,Generator,Longitude,54.6803
ARE_Gas_TaweelahA218311,Generator,Latitude,24.7624
ARE_Gas_TaweelahA218311,Generator,Longitude,54.6835
ARE_Gas_WasitPowerSta18312,Generator,Latitude,25.3732
ARE_Gas_WasitPowerSta18312,Generator,Longitude,55.4611
ARE_Gas_zawra18313,Generator,Latitude,25.446
ARE_Gas_zawra18313,Generator,Longitude,55.4777
ARE_Sol_MasdarCityPV18304,Generator,Latitude,24.4345
ARE_Sol_MasdarCityPV18304,Generator,Longitude,54.6085
ARE_Sol_SheikhMohammed18307,Generator,Latitude,24.7652
ARE_Sol_SheikhMohammed18307,Generator,Longitude,55.3733
ARG_Coa_CENTRALBAHIAB91,Generator,Latitude,-38.7872
ARG_Coa_CENTRALBAHIAB91,Generator,Longitude,-62.2536
ARG_Coa_CENTRALTERMICA98,Generator,Latitude,-24.6894
ARG_Coa_CENTRALTERMICA98,Generator,Longitude,-65.0425
ARG_Coa_COSTANERA113,Generator,Latitude,-34.626
ARG_Coa_COSTANERA113,Generator,Longitude,-58.3393
ARG_Coa_CTECOENERGIA136,Generator,Latitude,-38.6871
ARG_Coa_CTECOENERGIA136,Generator,Longitude,-62.3961
ARG_Coa_NECOCHEA236,Generator,Latitude,-38.5785
ARG_Coa_NECOCHEA236,Generator,Longitude,-58.7108
ARG_Coa_PILARZANICHELL261,Generator,Latitude,-31.6662
ARG_Coa_PILARZANICHELL261,Generator,Longitude,-63.8344
ARG_Coa_PUERTONUEVO267,Generator,Latitude,-34.5754
ARG_Coa_PUERTONUEVO267,Generator,Longitude,-58.3788
ARG_Coa_SANNICOLAS278,Generator,Latitude,-33.3562
ARG_Coa_SANNICOLAS278,Generator,Longitude,-60.1729
ARG_Coa_SORRENTO283,Generator,Latitude,-32.9053
ARG_Coa_SORRENTO283,Generator,Longitude,-60.6807
ARG_Gas_AGUADELCAJON65,Generator,Latitude,-38.9368
ARG_Gas_AGUADELCAJON65,Generator,Longitude,-68.3556
ARG_Gas_ALTOVALLE69,Generator,Latitude,-38.9524
ARG_Gas_ALTOVALLE69,Generator,Longitude,-68.0218
ARG_Gas_CENTRALLOMADE92,Generator,Latitude,-38.5127
ARG_Gas_CENTRALLOMADE92,Generator,Longitude,-68.6048
ARG_Gas_CENTRALT_GENEL94,Generator,Latitude,-34.9027
ARG_Gas_CENTRALT_GENEL94,Generator,Longitude,-58.7334
ARG_Gas_CENTRALT_GENEL95,Generator,Latitude,-34.9027
ARG_Gas_CENTRALT_GENEL95,Generator,Longitude,-58.7334
ARG_Gas_CENTRALTERMICA96,Generator,Latitude,-31.7112
ARG_Gas_CENTRALTERMICA96,Generator,Longitude,-60.7811
ARG_Gas_CENTRALTERMICA97,Generator,Latitude,-24.7456
ARG_Gas_CENTRALTERMICA97,Generator,Longitude,-65.0513
ARG_Gas_CENTRALTERMICA99,Generator,Latitude,-27.7528
ARG_Gas_CENTRALTERMICA99,Generator,Longitude,-64.2655
ARG_Gas_CENTRALTERMOEL102,Generator,Latitude,-34.6268
ARG_Gas_CENTRALTERMOEL102,Generator,Longitude,-58.5438
ARG_Gas_CENTRALTERMOEL103,Generator,Latitude,-24.6894
ARG_Gas_CENTRALTERMOEL103,Generator,Longitude,-65.0425
ARG_Gas_CENTRALTERMOEL104,Generator,Latitude,-32.5778
ARG_Gas_CENTRALTERMOEL104,Generator,Longitude,-60.791
ARG_Gas_COMODORORIVADA110,Generator,Latitude,-25.9913
ARG_Gas_COMODORORIVADA110,Generator,Longitude,-54.6278
ARG_Gas_CRUZDEPIEDRA114,Generator,Latitude,-33.0349
ARG_Gas_CRUZDEPIEDRA114,Generator,Longitude,-68.7971
ARG_Gas_CT13DEJULIO116,Generator,Latitude,-32.1613
ARG_Gas_CT13DEJULIO116,Generator,Longitude,-64.1537
ARG_Gas_CTBRAGADO125,Generator,Latitude,-35.1364
ARG_Gas_CTBRAGADO125,Generator,Longitude,-60.4311
ARG_Gas_CTCONCEPCIOND134,Generator,Latitude,-32.4767
ARG_Gas_CTCONCEPCIOND134,Generator,Longitude,-58.2672
ARG_Gas_CTENSENADADE137,Generator,Latitude,-34.8597
ARG_Gas_CTENSENADADE137,Generator,Longitude,-57.9557
ARG_Gas_CTINDEPENDENCI142,Generator,Latitude,-26.8666
ARG_Gas_CTINDEPENDENCI142,Generator,Longitude,-65.2247
ARG_Gas_CTLASARMAS152,Generator,Latitude,-37.0781
ARG_Gas_CTLASARMAS152,Generator,Longitude,-57.8181
ARG_Gas_CTLASARMASII153,Generator,Latitude,-37.0781
ARG_Gas_CTLASARMASII153,Generator,Longitude,-57.8181
ARG_Gas_CTMATHEU159,Generator,Latitude,-34.3931
ARG_Gas_CTMATHEU159,Generator,Longitude,-58.8372
ARG_Gas_CTOLAVARRIA162,Generator,Latitude,-36.9439
ARG_Gas_CTOLAVARRIA162,Generator,Longitude,-60.2361
ARG_Gas_CTPARANA164,Generator,Latitude,-31.7764
ARG_Gas_CTPARANA164,Generator,Longitude,-60.4553
ARG_Gas_CTPINAMAR168,Generator,Latitude,-37.0953
ARG_Gas_CTPINAMAR168,Generator,Longitude,-56.8789
ARG_Gas_CTPLUSPETROLN170,Generator,Latitude,-26.9955
ARG_Gas_CTPLUSPETROLN170,Generator,Longitude,-65.166
ARG_Gas_CTROCA173,Generator,Latitude,-31.8919
ARG_Gas_CTROCA173,Generator,Longitude,-60.0106
ARG_Gas_CTSANMIGUELD178,Generator,Latitude,-26.9955
ARG_Gas_CTSANMIGUELD178,Generator,Longitude,-65.166
ARG_Gas_CTTUCUMAN184,Generator,Latitude,-26.9955
ARG_Gas_CTTUCUMAN184,Generator,Longitude,-65.166
ARG_Gas_DEANFUNES190,Generator,Latitude,-31.3934
ARG_Gas_DEANFUNES190,Generator,Longitude,-64.2059
ARG_Gas_DIQUE191,Generator,Latitude,-34.8902
ARG_Gas_DIQUE191,Generator,Longitude,-57.933
ARG_Gas_DOCKSUD192,Generator,Latitude,-34.6533
ARG_Gas_DOCKSUD192,Generator,Longitude,-58.342
ARG_Gas_EXCENTRALBUEN201,Generator,Latitude,-34.627
ARG_Gas_EXCENTRALBUEN201,Generator,Longitude,-58.3382
ARG_Gas_FILOMORADO202,Generator,Latitude,-37.2742
ARG_Gas_FILOMORADO202,Generator,Longitude,-69.652
ARG_Gas_GENERACIONFRIA206,Generator,Latitude,-28.6072
ARG_Gas_GENERACIONFRIA206,Generator,Longitude,-65.1228
ARG_Gas_GENERALLEVALLE208,Generator,Latitude,-34.0364
ARG_Gas_GENERALLEVALLE208,Generator,Longitude,-63.9217
ARG_Gas_GOYAELECTROPA211,Generator,Latitude,-29.1388
ARG_Gas_GOYAELECTROPA211,Generator,Longitude,-59.2277
ARG_Gas_LAPLATACOGENE219,Generator,Latitude,-34.889
ARG_Gas_LAPLATACOGENE219,Generator,Longitude,-57.9206
ARG_Gas_LATABLADA221,Generator,Latitude,-27.4184
ARG_Gas_LATABLADA221,Generator,Longitude,-55.9097
ARG_Gas_LUJANDECUYO229,Generator,Latitude,-33.0551
ARG_Gas_LUJANDECUYO229,Generator,Longitude,-68.981
ARG_Gas_MARDEAJO230,Generator,Latitude,-36.7208
ARG_Gas_MARDEAJO230,Generator,Longitude,-63.1977
ARG_Gas_MARDELPLATA231,Generator,Latitude,-38.0495
ARG_Gas_MARDELPLATA231,Generator,Longitude,-57.546
ARG_Gas_MODESTOMARANZA235,Generator,Latitude,-33.1608
ARG_Gas_MODESTOMARANZA235,Generator,Longitude,-64.3656
ARG_Gas_NUEVOPUERTO242,Generator,Latitude,-34.5721
ARG_Gas_NUEVOPUERTO242,Generator,Longitude,-58.3835
ARG_Gas_OBERATGN21243,Generator,Latitude,-27.5019
ARG_Gas_OBERATGN21243,Generator,Longitude,-55.1245
ARG_Gas_PATAGONIA254,Generator,Latitude,-45.7934
ARG_Gas_PATAGONIA254,Generator,Longitude,-67.5145
ARG_Gas_PICOTRUNCADOI257,Generator,Latitude,-46.7842
ARG_Gas_PICOTRUNCADOI257,Generator,Longitude,-67.9498
ARG_Gas_PILARBICENTEN260,Generator,Latitude,-31.6651
ARG_Gas_PILARBICENTEN260,Generator,Longitude,-63.8314
ARG_Gas_PRESIDENTESARM264,Generator,Latitude,-31.5129
ARG_Gas_PRESIDENTESARM264,Generator,Longitude,-68.5399
ARG_Gas_PUERTOMADRYN266,Generator,Latitude,-42.7069
ARG_Gas_PUERTOMADRYN266,Generator,Longitude,-65.1048
ARG_Gas_RIOCUARTO271,Generator,Latitude,-33.1614
ARG_Gas_RIOCUARTO271,Generator,Longitude,-64.3649
ARG_Gas_SANFRANCISCO276,Generator,Latitude,-31.4391
ARG_Gas_SANFRANCISCO276,Generator,Longitude,-62.1119
ARG_Gas_SUDOESTE284,Generator,Latitude,-31.463
ARG_Gas_SUDOESTE284,Generator,Longitude,-64.2388
ARG_Gas_TARTAGAL285,Generator,Latitude,-22.5099
ARG_Gas_TARTAGAL285,Generator,Longitude,-63.797
ARG_Gas_TENARISSIDERCA286,Generator,Latitude,-33.3655
ARG_Gas_TENARISSIDERCA286,Generator,Longitude,-60.1435
ARG_Gas_VILLAGESELL291,Generator,Latitude,-37.2487
ARG_Gas_VILLAGESELL291,Generator,Longitude,-56.9973
ARG_Gas_VILLAMARIALA292,Generator,Latitude,-39.0872
ARG_Gas_VILLAMARIALA292,Generator,Longitude,-67.0881
ARG_Gas_VUELTADEOBLIG293,Generator,Latitude,-32.5807
ARG_Gas_VUELTADEOBLIG293,Generator,Longitude,-60.7903
ARG_Hyd_AGUADELTORO66,Generator,Latitude,-34.5792
ARG_Hyd_AGUADELTORO66,Generator,Longitude,-68.9892
ARG_Hyd_ALICURA67,Generator,Latitude,-40.58
ARG_Hyd_ALICURA67,Generator,Longitude,-70.7489
ARG_Hyd_ALVAREZCONDARC71,Generator,Latitude,-33.0452
ARG_Hyd_ALVAREZCONDARC71,Generator,Longitude,-69.0516
ARG_Hyd_ARROYITO72,Generator,Latitude,-39.1009
ARG_Hyd_ARROYITO72,Generator,Longitude,-68.5982
ARG_Hyd_BENJAMINREOLIN77,Generator,Latitude,-32.1883
